id;fecha;texto;ods
1;2023-10-28 22:57:14;Es probable que los costes asociados a la pérdida continuada de biodiversidad sean muy importantes, pero sus repercusiones (en términos de pérdida de bienestar) no se reflejan en los precios de mercado. Obsérvese que el número de personas que carecen de acceso al agua potable es superior al de las que carecen de acceso a un suministro básico de agua. Otros casos de contaminación, más episódicos, afectan al aluminio (causante de enfermedades neurodegenerativas) y al plomo (enfermedades endémicas del sistema nervioso).;6
2;2023-10-28 22:58:07;Como tales, las centrales nucleares contribuyen de forma importante al restablecimiento de la red en caso de apagones. En particular, las centrales nucleares necesitan más tiempo para arrancar y no pueden variar mucho la duración del ciclo. Además, en muchos países de la OCDE el funcionamiento flexible de las centrales nucleares está limitado o no está autorizado por las autoridades nacionales de seguridad, por lo que las centrales nucleares sólo pueden ofrecer una flexibilidad limitada al GRT. La inercia de las turbinas eólicas es bastante baja, mientras que la solar fotovoltaica no tiene inercia.;7
3;2023-10-28 22:59:14;La regulación puede dar lugar a prácticas corruptas, con la consiguiente pérdida de bienestar en una economía. Esta investigación pretende medir el impacto de la corrupción en el sector inmobiliario de Dhaka, la capital de Bangladesh. Intenta medir la pérdida de bienestar resultante de las prácticas corruptas ejercidas principalmente por las agencias reguladoras gubernamentales. El soborno y la tasa de extorsión son los dos indicadores principales con los que se mide la pérdida de bienestar. Los datos del estudio revelan que se pierden alrededor de 8 pisos debido al pago de sobornos y otros pagos de este tipo.;16
4;2023-10-28 22:59:57;El autor analiza críticamente la sentencia dictada por la CIJ el 14 de febrero de 2002, en el caso Arrest Warrant of 11 April 2000. El razonamiento de la Corte es criticado tanto por su escasa motivación para reconocer la existencia de una norma de derecho internacional consuetudinario, que establece la inviolabilidad absoluta y la inmunidad de los ministros de Relaciones Exteriores en ejercicio ante los tribunales nacionales de otros Estados, como por la manera más bien teórica en que la Corte afirma que la inmunidad no equivale a la impunidad. También se lamenta que la Corte no se haya pronunciado sobre el tema de la jurisdicción universal, perdiendo así una gran oportunidad de aclarar un tema controvertido pero cada vez más importante del derecho internacional (penal).;16
5;2023-10-28 23:00:37;Este tema incluye estadísticas de salud sobre morbilidad (como incidencia y prevalencia) y mortalidad de estas enfermedades o condiciones, así como la medición del impacto asociado en la fuerza laboral y los costos económicos. Cuando esté disponible, la fracción atribuible y la carga de enfermedades, muertes prematuras y AVAD asociados con la contaminación deben incluirse en este tema. Las enfermedades y condiciones relacionadas con el agua siguen siendo problemas importantes de salud pública en los países en desarrollo.;6
6;2023-10-29 12:31:35;agua;6
7;2023-10-29 12:31:48;agua;6
8;2023-10-29 12:42:50;aguaaa;6
9;2023-10-29 12:43:04;aguaaa;6
10;2023-10-29 12:43:30;sociedad;16
